	TCGA-44-6777-11A-01R-1858-07	TCGA-91-6835-11A-01R-1858-07	TCGA-44-2668-11A-01R-1758-07	TCGA-50-5933-11A-01R-1755-07	TCGA-49-6745-11A-01R-1858-07	TCGA-49-6742-11A-01R-1858-07	TCGA-44-2655-11A-01R-1758-07	TCGA-50-5932-11A-01R-1755-07	TCGA-44-2661-11A-01R-1758-07	TCGA-44-3396-11A-01R-1758-07	TCGA-91-6836-11A-01R-1858-07	TCGA-49-6743-11A-01R-1858-07	TCGA-44-2665-11A-01R-1758-07	TCGA-44-6776-11A-01R-1858-07	TCGA-49-6744-11A-01R-1858-07	TCGA-44-2657-11A-01R-1758-07	TCGA-50-5930-11A-01R-1755-07	TCGA-44-6778-11A-01R-1858-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6835-01A-11R-1858-07	TCGA-44-2668-01A-01R-0946-07	TCGA-50-5933-01A-11R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-50-5932-01A-11R-1755-07	TCGA-44-2661-01A-01R-1107-07	TCGA-44-3396-01A-01R-1206-07	TCGA-91-6836-01A-21R-1858-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-49-6744-01A-11R-1858-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5930-01A-11R-1755-07	TCGA-44-6778-01A-11R-1858-07
PID1|55022	1622.2038	658.8702	860.2151	1006.393	1695.941	1581.9141	831.7411	1055.1948	957.9344	806.9728	1776.7117	1614.1457	960.6272	1470.922	1107.7425	1142.288	1008.3523	771.2264	248.8164	235.6659	239.3722	112.768	289.9263	276.6592	438.4307	108.4788	472.1422	94.4283	125.7168	500.8139	354.8387	323.2759	406.8228	661.0738	245.6896	386.4213
PIF1|80119	6.628	11.8997	5.7604	4.5461	6.6421	7.8372	12.943	8.9286	11.8615	11.2532	5.4692	6.3025	6.6202	9.9291	9.78	40.4098	6.0744	9.434	12.6249	28.8939	45.5817	26.5337	26.5356	58.1655	11.1356	14.547	52.8338	62.4301	74.1067	45.5779	32.7324	5.7471	15.2749	49.6644	34.5294	48.8579
PIGR|5284	29511.1848	14880.9477	26212.7496	26301.4633	14693.7269	26006.3301	15330.3544	13525.974	7507.8523	14931.8108	29254.8007	16731.0924	15022.6481	30399.2908	20767.4002	18408.082	21716.0213	9214.033	26703.8401	1993.228	649.0618	855.2002	4210.8108	4533.1842	7973.8444	989.1937	39633.5255	1195.7932	224.0847	1342.3766	3366.6983	6868.5345	19542.7699	13789.2617	1996.0623	5713.8325
PIK3C2G|5288	12.4275	3.7578	4.2243	13.07	1.476	4.8229	27.735	5.6818	0.9489	1.1845	0.0	5.6022	30.3136	58.8652	2.608	19.3512	34.9279	6.4858	0.526	0.9029	0.0	0.0	0.9828	2.2371	2.8486	0.0	0.9606	0.0	0.8822	4.8833	0.0	10.0575	0.5092	1.3423	0.0	0.0
PIM2|11040	1148.3016	617.5343	538.0184	1899.1334	447.2325	633.0068	560.2465	447.2403	693.1858	567.3981	711.7785	595.2381	436.2369	494.3262	383.3741	2034.1491	640.8504	880.8962	2072.0673	1009.4808	811.4637	523.0192	839.312	197.6137	827.9166	453.4497	3921.7099	4777.5789	1138.0679	1636.4623	604.8387	285.9195	1727.0876	5064.4295	4669.4312	3453.6802
PIP5K1B|8395	692.6263	379.5393	864.0553	917.1757	863.4686	749.3595	418.49	882.3052	428.9117	534.8231	715.6851	751.4006	565.5052	1536.1702	836.5118	512.8059	1488.2308	504.1274	47.3435	124.605	13.6472	14.2874	97.2973	283.3706	133.3679	76.0599	190.2017	79.4361	371.8571	52.089	24.6679	852.0115	238.7984	283.8926	355.918	276.0152
PITX1|5307	4.1425	11.8997	1.1521	6.8192	6.6421	2.4115	10.1695	0.8117	0.0	29.9098	0.7813	3.5014	2.7875	16.3121	0.652	5.1224	7.593	2.9481	301.4203	33.4086	328.898	419.4359	595.086	377.3304	65.5186	7.8969	127.2815	887.6706	464.0494	871.9479	199.7154	16.523	81.4664	20.8054	312.0922	82.4873
PITX2|5308	0.0	0.6263	0.0	0.0	0.0	0.0	0.0	0.0	0.4745	0.2961	1.5626	0.0	0.6969	2.1277	2.608	1.1383	0.7593	0.0	15.2551	99.7743	15.5578	19.9002	2.9484	128.2625	3.8845	1.2469	3.3622	83.2401	458.7561	5.9685	29.4118	116.3793	64.664	37.5839	65.0746	0.6345
PKD2L1|9033	8.285	2.5052	27.2657	11.3653	23.6162	21.7031	9.5532	20.2922	16.6061	10.9571	60.9426	10.5042	13.2404	47.5177	31.2958	11.9522	18.9825	7.0755	4.2083	12.1896	1.3647	0.5103	1.4742	14.1685	4.9204	2.4938	18.732	18.3486	0.0	16.2778	1.8975	2.1552	14.2566	8.7248	13.2805	174.4924
PKDCC|91461	494.6147	306.2619	514.977	489.8423	818.4502	369.5554	676.1171	670.4545	673.2585	689.1104	284.3989	385.1541	1023.6934	851.0638	449.2258	531.5879	1195.1405	348.467	160.4419	237.4718	149.8465	45.4134	141.5233	710.6637	113.1685	39.4846	311.2392	206.0864	258.9325	126.4243	156.0721	84.7701	191.9552	300.6711	193.8956	202.4112
PKHD1L1|93035	233.6371	2214.6057	222.3502	46.0293	152.0295	91.0324	98.3051	295.4545	120.5128	456.3468	132.8237	154.0616	63.7631	246.8085	962.3472	83.0962	247.5323	561.3208	25.2499	41.535	4.913	1.0205	6.8796	5.22	22.2711	2.9094	48.9914	33.117	7.94	14.65	0.0	11.4943	71.2831	62.4161	34.5294	197.9695
PKIB|5570	52.1955	78.9141	49.1551	39.2101	234.6863	84.4009	42.8351	16.2338	40.3291	86.7681	38.2845	49.7199	41.115	66.6667	39.1198	48.3779	54.6697	33.0189	261.9674	63.2054	195.9741	303.6063	642.7518	2142.431	161.5952	30.3408	399.6158	977.3999	17.6445	12.4797	1365.2751	15.8046	183.8086	42.2819	34.5294	64.0863
PKMYT1|9088	40.5551	11.6179	104.2742	11.0868	19.1808	40.3376	29.1772	20.5601	32.4056	27.9346	9.243	7.507	26.0453	5.4184	5.3464	129.465	7.7373	9.263	97.3908	144.8894	562.0225	377.1096	235.3759	271.5436	19.3655	90.3907	61.9068	462.3808	836.5285	443.8416	93.7808	53.0603	124.7658	129.5772	195.2104	96.4721
PKNOX2|63876	359.5692	181.0014	140.169	279.5852	177.8598	168.1989	852.3883	466.7208	460.7005	395.6388	274.2418	346.6387	312.892	331.9149	503.9935	315.3102	334.8519	538.9151	136.2441	93.9052	54.5889	26.5337	60.4423	73.8255	84.1642	50.2909	71.0855	40.2775	11.0278	46.1205	23.2448	114.9425	153.7678	102.6846	41.1696	296.9543
PLA1A|51365	506.2138	91.4402	218.894	455.1783	477.4908	113.3384	329.7381	287.3377	299.3842	626.9217	204.7047	141.4566	364.4599	673.0496	474.6536	488.9015	201.9742	756.4858	114.1504	203.6117	27.8403	36.7389	129.2383	149.1424	71.4748	49.4597	243.0355	70.9331	8.8222	37.439	308.3491	40.2299	122.7088	231.5436	47.8099	234.7716
PLA2G1B|5319	359.5692	175.991	291.8587	278.4486	535.0554	378.5983	159.6302	408.2792	374.8233	179.7551	402.3775	683.4734	757.4913	588.6525	499.4295	445.646	993.1663	281.25	29.4582	4.5147	1.3647	0.0	15.2334	96.9426	184.3843	19.9501	36.5034	0.6713	0.4411	4.8833	2.8463	369.9713	61.0998	6.0403	13.2805	51.3959
PLA2G2D|26279	86.164	85.1771	32.6421	18.1844	7.3801	16.2773	20.339	16.2338	140.9146	155.1757	85.1634	13.3053	18.1185	4.2553	7.824	1865.111	23.5383	106.7217	166.2283	1379.2325	59.7748	124.5041	57.0025	20.1342	161.8542	14.547	280.4995	416.8718	16.3211	132.9354	23.7192	9.3391	208.2485	1559.7315	612.232	1574.2386
PLA2G3|50487	192.2121	135.9076	107.1429	115.9256	91.5129	208.5908	62.2496	96.5909	37.4823	74.9226	117.1973	101.5406	86.7596	149.6454	130.3993	101.309	152.6196	81.9575	1.5781	2.7088	0.2729	0.0	11.7936	29.0828	37.2912	24.1064	93.1796	1.1188	0.4411	4.8833	32.7324	79.7414	24.4399	68.4564	0.0	46.9543
PLA2G4A|5321	286.6611	356.3661	267.2811	197.1871	244.2804	207.3851	290.2928	192.3701	265.6975	226.2485	207.83	296.9188	172.4739	177.305	238.6308	223.1076	133.6371	198.7028	590.2157	724.1535	165.4043	146.9556	210.3194	840.4176	12364.1072	178.7199	524.4957	651.5999	834.5831	3139.4466	1563.093	9024.4253	851.833	382.5503	1780.9179	189.0863
PLA2G4D|283748	0.8285	1.2526	10.3687	7.9557	5.1661	8.4401	1.849	1.6234	1.4234	4.4421	4.6879	2.8011	2.7875	6.383	5.216	9.1064	6.0744	0.5896	50.4997	0.0	9.2801	15.8181	24.57	31.3199	24.3429	2.9094	3.8425	32.8933	0.8822	5.9685	19.4497	4.3103	17.8208	11.4094	5.3122	6.3452
PLA2G4F|255189	1339.6852	716.4901	1808.7558	1478.6191	1184.5018	1042.3512	1215.7165	1777.5974	584.5345	1046.8437	1188.3811	1001.4006	1751.9164	2858.156	1823.6349	1319.8634	1951.4047	1103.184	129.4056	130.9255	75.3327	103.0731	130.2211	234.8993	278.6482	279.3017	164.2651	6.9367	82.4879	59.1427	14.2315	840.5172	197.556	393.2886	22.5769	333.1218
PLA2G7|7941	99.42	51.9831	473.8863	77.852	33.9483	28.3346	33.8983	48.7013	266.172	262.6734	1120.4066	38.5154	109.0592	134.0426	196.251	338.0763	22.0197	286.5566	439.2425	943.5666	475.4691	165.3251	184.7666	100.6711	129.7423	78.138	618.1556	550.9062	136.3035	434.6175	190.2277	51.7241	248.9817	573.8255	531.2208	1818.5279
PLAC1|10761	0.0	1.2526	0.384	0.5683	1.476	1.2057	0.0	0.0	1.8978	0.8884	0.0	0.0	0.3484	0.0	0.652	0.5692	0.7593	0.5896	3.6823	13.544	1.9106	5.6129	36.3636	2.2371	1.0359	0.8313	33.1412	26.1804	4.4111	2.1704	0.4744	0.0	12.7291	20.1342	14.6086	0.0
PLAC2|257000	190.5551	257.4103	75.2688	364.8245	271.5867	130.2185	320.4931	380.6818	373.8743	173.5362	246.1144	211.4846	316.0279	143.2624	207.987	204.3256	312.8322	150.9434	3.6823	34.3115	8.7342	23.4721	17.199	265.4735	13.2073	2.9094	27.8578	3.804	42.3467	158.4373	9.4877	111.3506	19.3483	28.8591	106.2442	51.3959
PLAC8|51316	584.0928	686.4276	312.596	535.8716	1133.5793	898.2668	693.0663	638.7987	426.0649	541.9304	494.5728	600.8403	622.2997	870.922	440.7498	612.9767	608.2005	515.9198	155.1815	312.4153	63.596	51.5365	224.57	1298.2849	148.6469	67.3317	487.0317	58.1786	41.4645	1081.9316	197.3435	31.6092	237.2709	289.9329	796.8313	257.6142
PLAC9|219348	532.7258	443.4222	419.3548	210.8254	888.5609	308.6662	747.9199	655.8442	401.8675	586.3509	244.5518	718.4874	514.9826	195.7447	225.5909	331.8156	564.9203	290.684	116.2546	47.8555	9.2801	6.6334	33.4152	74.5712	169.6232	32.0033	106.1479	46.0953	1.7644	19.5334	87.2865	35.9195	98.778	100.0	59.7623	44.4162
PLAU|5328	893.6454	778.494	888.5868	554.7095	544.6347	589.9503	550.3852	466.7208	900.3255	484.4147	643.8041	572.8291	562.7143	284.3972	359.8957	850.8765	375.8542	713.7382	3947.5802	14707.5305	27651.2426	30196.3389	13352.9287	265.0261	2306.9092	1907.3815	2629.6158	10108.9192	3850.794	2938.0141	16864.4023	124.2816	2703.8035	1480.3154	1387.8012	1457.132
PLCB4|5332	276.7191	335.6981	98.3103	382.4407	259.7786	207.3851	461.0169	363.6364	210.1857	367.5058	203.1421	352.2409	263.4146	334.7518	302.5265	150.8253	264.2369	380.3066	47.8695	257.3363	78.0621	192.8793	279.6069	21.6257	522.5948	24.1064	42.2671	28.418	295.5448	18.9908	75.4269	867.8161	181.7719	118.1208	252.3299	1140.2284
PLCE1|51196	647.8873	771.6047	333.3333	813.752	413.2841	698.1161	1424.9615	1357.9545	989.2487	1038.848	665.6809	865.5462	812.892	1134.0426	1361.3692	406.3745	748.6712	773.5849	220.4103	339.5034	78.8809	143.8941	274.6929	260.2535	137.2524	72.7348	100.8646	99.3466	121.7468	839.9349	143.7381	209.0517	317.2098	193.2886	131.4772	259.5178
PLCXD3|345557	166.5286	118.3712	30.722	61.3724	223.6162	93.4439	210.1695	174.513	134.7466	143.3302	230.4881	210.7843	154.7038	224.8227	221.6789	84.8036	111.6173	203.4198	389.7948	32.5056	11.7366	1.0205	29.484	55.9284	104.8815	15.3782	24.0154	4.9228	6.6167	40.6945	19.4497	53.8793	58.554	28.8591	37.1855	48.8579
PLEK2|26499	42.2535	50.7305	56.0676	46.0293	70.8487	63.3007	42.8351	21.9156	65.4755	60.1158	53.1295	39.916	102.439	46.8085	30.6438	68.2982	72.8929	61.3208	397.6854	77.6524	2488.9799	712.8369	717.4447	416.1074	351.9358	206.1513	432.757	277.467	148.6546	1154.6392	984.8197	108.477	458.2485	106.7114	335.9972	140.8629
PLEKHH2|130271	521.1268	956.3639	397.0814	1592.8399	527.6753	572.1176	1119.5686	2420.4545	885.342	872.4191	960.2369	984.5938	579.7909	1024.8227	1285.7376	311.3261	865.6036	1879.717	120.4629	496.1625	120.6414	87.2549	127.2727	184.9366	255.6002	248.9609	464.4573	417.5431	187.4724	270.7542	266.129	232.7586	430.2444	467.7852	130.1491	614.8477
PLEKHN1|84069	9.942	33.194	16.129	5.1144	9.5941	12.6601	5.547	7.3052	6.6424	7.1073	8.5945	3.5014	9.4077	4.2553	9.128	19.9203	6.8337	8.2547	59.4424	124.605	294.234	98.4807	145.9459	94.7054	88.8256	83.1255	53.7944	139.181	232.0247	59.6853	197.3435	116.3793	106.4155	124.1611	13.2805	14.5939
PLK1|5347	96.9345	40.0834	117.5115	18.7527	47.2325	66.315	46.8413	25.1623	67.3733	57.1544	24.2208	22.409	42.5087	21.9858	28.6879	390.4382	28.0942	25.9434	228.8269	353.0474	1733.1969	811.3176	601.4742	1020.1342	123.2682	307.98	165.2257	506.1535	1575.2095	1003.2556	354.3643	76.8678	281.0591	405.3691	351.9338	826.7766
PLK4|10733	35.6255	48.2253	50.3072	22.1622	41.3284	56.6692	42.527	37.3377	39.3802	47.0858	17.1889	25.2101	30.3136	40.4255	37.8158	78.543	22.0197	35.3774	77.8538	182.8442	311.1566	371.9815	296.3145	236.3908	58.0085	115.9601	71.5658	221.7498	1053.8156	243.0819	105.3131	31.6092	108.4521	147.651	155.3821	174.4924
PLLP|51090	1543.4963	924.4225	800.3072	1233.698	2746.8635	996.5335	1814.1757	1675.3247	1763.5672	1537.8385	1547.7862	1580.5322	1732.4042	2595.7447	1869.2747	1712.0091	2618.8307	1564.2689	221.4624	155.3047	59.2289	590.3739	271.7445	434.0045	1183.219	1242.7265	316.0423	118.8185	82.4879	51.5464	143.2638	2808.908	650.7128	319.4631	900.4193	532.3604
PLOD2|5352	562.5518	827.9719	538.4025	718.2838	892.9889	787.3399	572.265	595.7792	731.1426	594.3466	368.781	968.4874	680.4878	711.3475	608.313	428.0023	508.732	652.7123	4862.1778	807.6749	21991.9481	6177.75	2029.484	509.3214	614.2691	158.3541	904.4188	3350.414	3125.7168	8926.2073	4560.7211	243.5345	3976.5784	681.2081	3555.1955	1996.1929
PLP1|5354	5.7995	14.405	3.0722	9.0922	40.5904	7.8372	11.4022	4.0584	1.4234	5.3305	4.6879	9.8039	3.8328	4.9645	12.3879	1.7075	5.3151	5.8962	1.0521	8.5779	0.5459	0.0	11.3022	2.2371	1.8128	1.6625	3.3622	0.2238	0.0	0.5426	2.3719	0.0	1.5275	3.3557	0.0	3.1726
PLXNA2|5362	2421.7067	3278.0674	2986.9432	3113.5104	1197.048	2700.2261	2942.0647	3499.1883	2516.5349	3096.4066	2493.1781	1715.6863	2355.7491	3700.7092	2980.2771	1759.2487	3501.139	2244.6934	1341.3993	2906.0948	461.0031	736.8193	780.8354	718.8665	2063.4468	4722.7764	687.8002	547.1023	290.6925	322.3006	861.9545	6062.5	988.2892	1771.8121	221.7847	1302.665
PLXNB3|5365	33.14	52.0332	22.2235	43.2277	16.7085	6.5411	61.0169	34.9838	24.3113	98.9867	28.9087	4.2017	17.0906	43.1135	24.3847	13.654	15.9453	113.1368	582.2462	839.088	407.5087	372.5938	245.5037	5.22	371.467	893.7822	198.9817	534.6767	1311.7953	123.0711	334.9099	359.8563	289.4959	62.1678	10.6244	21.8845
PM20D1|148811	9.1135	0.0	3.4562	9.6605	3.69	23.5117	18.7982	0.0	6.168	1.1845	5.4692	4.2017	11.4983	16.3121	4.564	11.383	12.9081	13.5613	4.2083	0.0	1.0918	1.5308	0.9828	2.9828	3.8845	0.4156	16.3305	0.2238	0.4411	0.0	2.3719	6.4655	4.0733	8.7248	7.9683	10.7868
PMAIP1|5366	78.7075	79.5404	125.192	307.43	95.203	99.4725	140.5239	69.8052	69.7456	88.2488	104.6963	173.6695	76.6551	203.5461	77.5876	151.3944	42.5209	532.4292	537.6118	274.4921	655.8854	900.1033	1148.4029	422.0731	268.2895	82.2943	460.1345	1104.4977	951.9188	193.7059	1191.1765	50.2874	209.776	210.0671	57.1062	276.0152
PMCH|5367	2.6678	1.2401	0.0	0.8581	2.0295	0.5245	0.4037	0.8766	0.5788	0.7196	0.0	0.9524	0.4669	0.0	0.0	2.436	0.0	0.0	0.0	6.7178	4.0641	8.5775	1.4201	0.0	22.5016	0.5112	11.4217	6.6659	0.0	2.7835	14.5446	1.0632	10.3564	2.2886	3.4529	0.0
PNLDC1|154197	4.971	11.2734	1.9201	0.5683	13.2841	2.4115	1.849	0.0	1.4234	4.4421	0.0	4.2017	1.0453	4.2553	0.0	1.1383	0.7593	0.0	0.526	0.4515	1.9106	0.0	0.0	0.0	0.0	0.4156	1.9212	0.6713	0.4411	0.5426	0.4744	1.4368	0.0	0.0	0.0	2.5381
PNMA3|29944	4.1425	11.8997	5.7604	2.2731	2.952	5.4258	5.547	9.7403	6.6424	9.1802	7.0318	1.4006	5.2265	4.2553	5.868	44.963	3.0372	16.5094	35.2446	308.8036	6.2777	1.5308	85.0123	6.7114	8.8049	2.9094	26.4169	13.2021	69.6956	13.0222	37.4763	1.4368	48.8798	196.6443	3.9842	17.7665
PNMA6A|84968	32.3115	41.336	23.4255	7.3874	19.1882	47.6262	41.6025	17.8571	27.9931	24.5794	25.0021	19.6078	16.3763	24.8227	16.2999	50.0854	6.0744	5.3066	205.6812	176.5237	16.6496	15.8181	96.3145	6.7114	10.3587	46.5503	107.5889	17.006	191.4424	30.3852	100.5693	88.3621	108.9613	277.1812	17.2647	9.5178
PNMT|5409	19.0555	6.8893	11.5207	10.797	25.0923	11.4544	14.792	20.2922	5.2191	54.7853	8.5945	8.4034	24.3902	132.6241	119.3154	18.782	110.858	96.1085	13.151	2.2573	3.0024	0.5103	9.3366	2.9828	1.5538	46.9659	6.7243	26.6279	0.0	0.5426	0.0	56.7529	5.6008	4.698	0.0	10.7868
PNOC|5368	24.855	6.8893	9.6006	4.5461	3.69	16.8802	4.9307	2.4351	5.2191	9.7725	5.4692	3.5014	6.9686	0.7092	3.912	179.2829	1.5186	10.6132	49.4477	31.6027	10.3719	6.1232	8.3538	5.9657	34.4426	8.7282	111.4313	108.3016	11.91	39.6093	6.167	8.6207	51.9348	227.5168	115.5405	77.4112
PNPLA6|10908	5188.8981	2063.0405	7899.7696	3291.9449	2791.1439	4729.465	4419.7227	4107.9545	4293.8614	5242.8063	3942.5186	3358.5434	5928.9199	2234.7518	3045.4768	4093.9101	3939.2559	3122.6415	2617.0437	1401.8059	1571.3408	1214.9354	1695.3317	1008.2028	923.7343	915.212	1426.0327	1711.3448	834.5831	1376.56	1250.4744	976.2931	1371.1813	1067.7852	755.6617	1897.2081
PNPLA7|375775	169.8426	177.2436	206.6052	328.4557	98.893	206.7822	283.2049	280.8442	286.5737	216.7722	285.1802	117.6471	266.5505	326.2411	253.6267	313.0336	182.2323	329.0094	72.5934	135.4402	24.2921	28.0644	27.5184	38.0313	308.1704	45.719	147.4544	92.8619	17.6445	16.8204	62.1442	344.1092	88.5947	195.302	37.1855	477.7919
PODNL1|79883	47.2245	50.7305	30.3379	27.2766	19.9262	30.746	62.8659	27.5974	195.4774	41.7553	21.0955	35.7143	151.2195	12.766	54.7677	41.5481	18.2232	27.1226	516.5702	64.5598	255.7489	288.2984	165.1106	59.657	282.0148	39.069	163.7848	304.5424	29.5545	493.2176	2811.1954	29.454	566.7006	114.7651	254.986	24.7462
PODXL2|50512	184.7556	194.1538	136.7127	66.4867	72.3247	233.3082	125.4237	114.4481	190.2584	90.6179	97.6645	111.3445	135.1916	82.2695	136.9193	186.1127	53.9104	70.1651	1492.8985	2250.5643	149.8465	245.4363	674.2015	365.399	863.3951	312.9676	1095.1009	594.5402	1399.206	1333.1525	461.575	734.9138	1592.668	834.2282	1062.4417	970.1777
POLE2|5427	9.1135	17.5365	11.5207	6.2509	11.0701	8.4401	13.2512	17.8571	9.9637	8.8841	9.3758	7.7031	7.6655	9.2199	7.824	19.9203	4.5558	8.8443	15.2551	61.3995	116.2743	59.7007	80.5897	76.0626	27.1915	31.1721	68.684	116.1334	117.7768	209.4411	57.4004	15.8046	9.6741	26.8456	59.7623	107.868
POLQ|10721	7.4565	9.3945	14.2089	9.0922	3.69	6.6315	9.245	9.7403	9.0147	8.588	3.1253	2.8011	5.9233	5.6738	7.824	33.58	3.0372	5.3066	56.8122	147.6298	202.7977	188.2869	114.0049	89.4855	14.2432	13.7157	31.22	142.5375	333.4804	295.7135	38.8994	6.4655	36.6599	39.5973	71.7148	104.6954
POSTN|10631	1767.1914	3882.4493	2099.4624	159.6818	1798.524	4560.0603	4111.5562	952.9221	3987.3604	3095.8143	924.2964	4135.8543	5254.7038	1341.1348	6567.5632	1186.1127	602.126	1270.6368	15601.7885	2354.8533	24549.71	9981.7581	6107.6167	1290.082	1751.9099	400.2494	3344.8607	21920.1164	1526.6873	11053.7168	16470.1139	1617.0977	9699.5927	2624.1611	20831.8254	2118.0203
POU2AF1|5450	471.4167	271.189	125.192	151.7261	35.4244	104.8983	45.9168	45.4545	63.1032	253.197	79.6942	24.5098	42.1603	15.6028	71.7196	2416.0501	150.3417	88.4434	951.6044	665.9142	257.1136	82.1523	122.8501	41.0142	266.7357	99.7506	894.3324	1441.0383	233.348	535.5399	45.0664	132.1839	1114.5621	2778.5235	2302.8424	1511.4213
POU2F2|5452	202.9826	92.6928	74.5008	76.7154	33.2103	32.5546	56.0863	51.9481	113.3959	104.8324	109.3842	51.8207	60.6272	61.7021	41.0758	957.3136	53.9104	231.7217	369.2793	540.4063	210.1672	118.3809	125.3071	85.7569	111.3557	21.6126	220.9414	246.5876	74.5479	145.4151	67.8368	42.3851	232.1792	702.6846	350.6058	495.5584
POU4F1|5457	0.0	0.0	0.0	0.0	0.0	0.0	0.3082	0.0	0.4745	0.2961	0.0	0.0	0.0	0.7092	0.0	4.5532	0.0	3.5377	1.0521	106.0948	0.0	0.5103	0.0	170.0224	0.7769	0.8313	0.4803	3.5802	125.2757	168.204	1.4231	2.1552	3.055	2.6846	63.7465	26.6497
POU5F1B|5462	7.879	17.5365	7.6805	8.5239	8.1181	8.4401	7.7134	15.1542	9.4892	9.965	14.845	8.7045	12.2125	21.0496	6.52	11.7018	6.8337	15.9198	1.0521	9.6433	2.2354	0.0	3.4398	3.4676	4.1616	1.143	14.4092	0.5616	1.3233	0.0	5.2182	20.1149	6.11	13.4228	22.5769	25.3807
POU6F2|11281	0.8285	0.0	0.0	1.7048	0.0	0.0	0.0	1.6234	1.8978	1.4807	1.5626	0.0	0.0	0.0	3.26	0.0	0.0	0.0	214.6239	0.0	0.5459	0.0	0.4914	24.3997	0.0	188.5495	0.0	6.4891	77.9224	61.3131	0.4744	13.6494	3.5642	4.0268	18.5927	27.2843
PPAP2C|8612	199.6686	1923.375	185.0998	348.9132	814.7601	1244.9133	332.8197	127.4351	312.1946	290.8064	232.0507	165.9664	192.3345	230.4965	148.6553	247.012	28.0942	115.566	272.4882	2310.158	1483.7257	518.4269	943.4889	2190.1566	1914.7999	1314.2145	2434.1979	2117.4759	916.1888	1370.0488	1498.5769	2686.7816	1853.3605	953.0201	1199.2311	496.8274
PPAPDC1A|196051	1.657	3.7578	1.9201	0.5683	1.476	2.4115	1.2327	0.8117	3.3212	1.1845	0.0	0.7003	3.1359	4.9645	0.652	1.1383	0.7593	1.1792	82.5881	6.3205	130.4674	86.2344	76.1671	0.0	1.0359	0.4156	15.8501	66.4578	11.0278	46.663	289.3738	1.4368	72.8106	4.0268	53.1221	1.269
PPARGC1A|10891	127.5891	385.8023	90.6298	408.5808	276.0148	395.4785	236.3636	455.3571	263.3252	340.8535	240.6452	392.8571	437.9791	291.4894	317.5224	129.1975	133.6371	258.2547	16.8332	78.1038	5.7318	5.1026	73.7101	43.2513	61.6341	19.9501	39.3852	10.9644	10.5867	27.6723	25.6167	401.5805	39.2057	91.2752	304.1239	496.8274
PPARG|5468	1105.2196	206.0535	1175.8833	915.4709	1262.7306	1144.2351	815.7165	772.7273	1007.2782	830.6638	1535.2852	1752.8011	1346.3415	620.5674	826.0799	750.1423	1186.0289	1228.184	303.5245	330.0226	310.3378	819.9921	1100.2457	576.4355	201.7351	425.6027	560.5187	246.5876	69.6956	165.491	72.1063	43.1034	302.444	243.6242	573.7185	265.8629
PPAT|5471	100.2486	145.3022	136.3287	85.2394	101.107	88.0181	124.8074	85.2273	92.5197	107.2015	82.0381	109.2437	94.7735	100.0	106.2755	128.6283	121.4882	90.8019	324.566	438.8262	480.3821	803.6637	643.7346	141.6853	230.9983	243.1421	215.658	365.4061	1500.2206	403.147	330.1708	163.0747	387.9837	441.6107	359.9021	696.7005
PPBP|5473	405.9652	110.8555	80.2611	49.4388	25.0923	718.0106	31.433	30.8442	26.5698	102.7595	108.6029	78.4314	9.4077	65.9574	34.5558	18.2129	135.1557	87.2642	5.2604	3.1603	1184.0328	15.3079	6.3882	11.9314	6.2152	4.9875	12.0077	6.0416	489.1928	7.0537	457.3055	61.0632	84.5214	0.0	1.3281	13.3249
PPEF1|5475	2.4855	0.0	2.3041	10.2287	6.6421	0.0	1.849	1.6234	4.2701	3.2575	1.5626	1.4006	2.439	0.0	1.956	1.1383	2.2779	1.1792	34.1925	2.2573	12.8284	57.6597	13.7592	2.9828	1.0359	2.4938	12.0077	24.8378	1.3233	13.5648	104.8387	92.6724	17.8208	4.698	1.3281	1.269
PPFIA4|8497	13.256	15.0313	3.0722	17.0479	6.6421	6.6315	17.8737	22.7273	5.2191	16.5837	10.9384	12.605	3.8328	26.2411	15.6479	8.5373	29.6128	27.7123	116.7806	36.5688	150.1194	50.0057	4.4226	0.0	8.5459	5.8188	34.5821	66.0103	93.0745	17.363	330.1708	7.9023	23.9308	98.6577	15.9366	119.9239
PPIL6|285755	151.6156	1085.3823	88.3257	438.1304	772.6937	581.7634	228.3513	168.0195	96.7898	285.4759	198.4542	86.8347	115.6794	312.766	167.5632	158.7934	139.7115	134.434	60.4945	144.0181	16.9226	23.9823	50.6143	58.9113	244.2056	60.266	154.1787	53.4795	6.1756	10.3093	58.3491	165.2299	72.8106	72.4832	49.1379	43.7817
PPM1N|147699	5.7995	16.9102	14.5929	7.9557	19.9262	13.263	10.7858	5.6818	4.2701	10.3648	12.501	14.7059	8.3624	4.9645	9.128	5.6915	18.9825	13.5613	92.5829	20.7675	10.6448	41.8415	8.3538	55.1827	51.0164	1.6625	63.8809	79.2124	5.2933	139.4466	129.981	8.6207	114.053	16.1074	7.9683	22.8426
