	TCGA-44-6777-11A-01R-1858-07	TCGA-91-6835-11A-01R-1858-07	TCGA-44-2668-11A-01R-1758-07	TCGA-50-5933-11A-01R-1755-07	TCGA-49-6745-11A-01R-1858-07	TCGA-49-6742-11A-01R-1858-07	TCGA-44-2655-11A-01R-1758-07	TCGA-50-5932-11A-01R-1755-07	TCGA-44-2661-11A-01R-1758-07	TCGA-44-3396-11A-01R-1758-07	TCGA-91-6836-11A-01R-1858-07	TCGA-49-6743-11A-01R-1858-07	TCGA-44-2665-11A-01R-1758-07	TCGA-44-6776-11A-01R-1858-07	TCGA-49-6744-11A-01R-1858-07	TCGA-44-2657-11A-01R-1758-07	TCGA-50-5930-11A-01R-1755-07	TCGA-44-6778-11A-01R-1858-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6835-01A-11R-1858-07	TCGA-44-2668-01A-01R-0946-07	TCGA-50-5933-01A-11R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-50-5932-01A-11R-1755-07	TCGA-44-2661-01A-01R-1107-07	TCGA-44-3396-01A-01R-1206-07	TCGA-91-6836-01A-21R-1858-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-49-6744-01A-11R-1858-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5930-01A-11R-1755-07	TCGA-44-6778-01A-11R-1858-07
COL4A3|1285	541.0108	528.5993	350.9985	877.3974	569.0037	646.2698	1268.1048	1569.8052	1932.0004	1258.8776	1304.7971	980.3922	1448.4321	2220.5674	1508.0685	974.9573	711.4655	1976.4151	98.3693	274.0406	7.6424	139.3017	43.7346	76.8084	191.3764	79.8005	286.2632	110.763	11.0278	111.2317	4.7438	109.9138	157.8411	481.2081	124.8369	534.264
COL4A6|1288	43.9105	149.06	30.722	95.4681	36.9004	46.4205	116.4869	40.5844	65.001	99.502	30.4713	49.7199	57.4913	104.2553	67.8077	42.6864	30.3721	51.8868	18.4114	51.9187	3.8212	3.5718	8.3538	2.2371	12.1714	5.4032	3.3622	9.1743	0.0	3.2556	13.2827	6.4655	13.2383	12.7517	38.5135	17.7665
COL5A2|1290	1125.1036	1872.6445	1104.4547	688.7342	329.8893	1120.1206	972.265	913.961	2406.9347	1798.4389	418.0039	838.9356	3492.6829	647.5177	1236.1858	547.5242	834.4723	876.1792	13140.9784	2930.0226	15545.5476	14074.0646	7504.1769	1162.5652	844.7494	1090.1912	2089.8175	8452.674	1842.082	9020.6186	14946.9023	975.5747	6975.5601	1486.5772	9330.8941	1496.8274
COL6A3|1293	8553.4383	12116.4484	10465.4378	5002.9834	1512.9151	5577.0912	7658.2435	9021.1039	13681.998	11371.9501	3447.1645	4975.4902	17856.446	2903.5461	8627.8729	5476.3802	6110.858	5426.2972	74615.9916	27775.6208	35107.4719	43534.5894	23339.0663	4593.5869	4796.5816	6832.0865	7588.8569	21016.5585	6897.6621	18316.3321	48157.4953	5280.1724	25787.6782	9344.9664	31999.4157	10039.9746
COL9A3|1299	9.1135	5.0104	7.2965	7.9557	2.952	7.2344	8.3205	7.3052	3.7957	10.6609	15.6263	4.902	28.9199	5.6738	1.304	34.7183	7.593	3.5377	7.3645	18.5102	19.9249	4.5924	0.4914	94.7054	16.3149	7.4813	25.9366	13.6496	24.2611	18.9908	8.5389	34.4828	10.6925	93.2886	65.0746	4.4416
COLEC10|10584	31.483	5.0104	3.4562	9.0922	47.2325	3.6172	84.4376	38.961	58.3586	74.9226	64.0679	8.4034	7.3171	71.6312	54.1157	19.3512	11.3895	55.4245	1.0521	2.7088	1.9106	0.0	7.8624	0.7457	16.8328	2.9094	12.0077	2.6852	0.8822	1.0852	7.1157	2.8736	2.0367	3.3557	0.0	6.9797
COLEC11|78989	91.9635	18.1628	50.6912	11.3653	18.4502	9.6458	81.3559	17.8571	113.8704	43.8282	18.7516	25.2101	44.5993	15.6028	44.3358	48.9471	27.3349	69.5755	32.6144	13.0926	6.8236	4.0821	2.457	11.1857	45.0602	15.3782	33.6215	6.7129	1.7644	49.9186	1.4231	38.0747	19.8574	56.3758	34.5294	25.3807
COMP|1311	594.8633	270.5627	322.9647	56.258	22.8782	425.0188	9.8613	17.0455	1295.2753	472.9305	40.6284	147.7591	185.0174	63.8298	305.1345	13.6596	223.2346	15.9198	1908.4692	142.6637	492.6646	5783.317	360.688	197.6137	478.0526	348.2959	633.0451	1501.0069	21.6145	123.1687	420.3036	174.569	2365.5804	459.7315	1730.4519	31.0914
CORIN|10699	107.7051	20.0417	36.8664	423.9239	154.2435	89.2238	56.7026	118.5065	139.9656	130.3002	109.3842	161.0644	127.1777	280.8511	234.0668	137.1656	109.3394	94.3396	89.9527	23.4763	107.2671	215.8411	81.0811	8.9485	27.7094	57.3566	81.172	165.5851	6.6167	187.1948	377.1347	12.931	75.3564	38.255	39.8416	28.5533
CORO2B|10391	341.3422	894.9863	131.3364	335.8432	320.2952	222.4567	479.8151	338.474	228.2152	292.5832	184.3905	114.8459	163.4146	228.3688	235.3708	184.9744	216.4009	362.0283	125.7233	123.702	17.7414	46.4339	57.0025	76.0626	41.6936	46.1347	80.2113	34.4596	12.7922	34.726	96.2998	58.1897	88.5947	54.3624	43.8257	85.6599
